List of MISMATCHES between SequenceA and SequenceB: (1)Inside chains and (2)Between chains


(1). Mismatches inside chains

 L1EndA	L2StartA		L1EndB	L2StartB		Mismatch
2566945	2566946		1963039	1963040		    1
2567146	2567147		1963240	1963241		    1
2567370	2567371		1963464	1963465		    1
2567409	2567416		1963503	1963510		    7
2567454	2567461		1963548	1963555		    7
2567484	2567485		1963578	1963579		    1
2567601	2567615		1963695	1963709		   14
2567703	2567722		1963797	1963816		   19
2567769	2567797		1963863	1963891		   28
2567841	2567842		1963935	1963936		    1
2567880	2567881		1963974	1963975		    1
2567904	2567905		1963998	1963999		    1
2568150	2568151		1964244	1964245		    1
2568620	2568625		1964714	1964719		    5
2568858	2568859		1964952	1964953		    1
2569153	2569155		1965247	1965249		    2
2569180	2569181		1965274	1965275		    1
2569438	2569439		1965532	1965533		    1
2569539	2569541		1965633	1965635		    2
2569721	2569723		1965815	1965817		    2
2569770	2569780		1965864	1965874		   10
2569983	2569984		1966077	1966078		    1
2570043	2570044		1966137	1966138		    1
2570071	2570086		1966165	1966180		   15
2570127	2570129		1966221	1966223		    2
2570163	2570165		1966257	1966259		    2
2570459	2570461		1966553	1966555		    2
2570486	2570488		1966580	1966582		    2
2570665	2570666		1966759	1966760		    1
2570723	2570724		1966817	1966818		    1
2571342	2571343		1967436	1967437		    1
2571473	2571475		1967567	1967569		    2
2571503	2571504		1967597	1967598		    1
2571525	2571546		1967619	1967640		   21
2571597	2571598		1967691	1967692		    1
2571670	2571699		1967764	1967793		   29
2571722	2571723		1967816	1967817		    1
2571773	2571774		1967867	1967868		    1
2571938	2571939		1968032	1968033		    1
2572160	2572161		1968254	1968255		    1
2572346	2572347		1968440	1968441		    1
2572401	2572402		1968495	1968496		    1
2572566	2572568		1968660	1968662		    2
2572640	2572641		1968734	1968735		    1
2572688	2572718		1968782	1968812		   30
2573009	2573010		1969103	1969104		    1
2573081	2573137		1969175	1969231		   56
2573181	2573182		1969275	1969276		    1
2573216	2573223		1969310	1969317		    7
2573287	2573288		1969381	1969382		    1
2573348	2573371		1969442	1969465		   23
2573399	2573400		1969493	1969494		    1
2573423	2573424		1969517	1969518		    1
2573462	2573478		1969556	1969572		   16
2573525	2573544		1969619	1969638		   19
2573741	2573742		1969835	1969836		    1
2573966	2573967		1970060	1970061		    1
2573990	2573992		1970084	1970086		    2
2574197	2574198		1970291	1970292		    1
2574314	2574327		1970408	1970421		   13
2574368	2574370		1970462	1970464		    2
2574401	2574405		1970495	1970499		    4
2574479	2574481		1970573	1970575		    2
2574664	2574665		1970758	1970759		    1
2574755	2574756		1970851	1970852		    1
2574846	2574847		1970942	1970943		    1
2574903	2574907		1970999	1971003		    4
2574951	2574953		1971047	1971049		    2
2575433	2575443		1971529	1971539		   10
2575520	2575521		1971616	1971617		    1
2575625	2575626		1971721	1971722		    1
2575682	2575683		1971778	1971779		    1
2575784	2575802		1971880	1971898		   18
2575880	2575881		1971976	1971977		    1
2576159	2576175		1972255	1972271		   16
2576255	2576256		1972351	1972352		    1
2576339	2576340		1972435	1972436		    1
2576475	2576482		1972571	1972578		    7
2576507	2576508		1972603	1972604		    1
2576645	2576646		1972741	1972742		    1
2576669	2576670		1972765	1972766		    1
2576711	2576718		1972807	1972814		    7
2576741	2576744		1972837	1972840		    3
2576778	2576779		1972874	1972875		    1
2577172	2577187		1973268	1973283		   15
2577468	2577470		1973564	1973566		    2
2577558	2577575		1973654	1973671		   17
2577603	2577605		1973699	1973701		    2
2577630	2577653		1973726	1973749		   23
2577681	2577694		1973777	1973790		   13
2577771	2577772		1973867	1973868		    1
2577810	2577826		1973906	1973922		   16
2577866	2577867		1973962	1973963		    1
2577921	2577922		1974017	1974018		    1
2578019	2578020		1974115	1974116		    1
2578077	2578079		1974173	1974175		    2
2578334	2578335		1974430	1974431		    1
2578392	2578393		1974488	1974489		    1
2578468	2578469		1974564	1974565		    1
2578532	2578533		1974628	1974629		    1
2578631	2578632		1974727	1974728		    1
2578717	2578718		1974813	1974814		    1
2578889	2578890		1974985	1974986		    1
2578913	2578929		1975009	1975025		   16
2579180	2579181		1975276	1975277		    1
2579432	2579451		1975528	1975547		   19
2579573	2579574		1975669	1975670		    1
2579894	2579895		1975990	1975991		    1
2579938	2579939		1976034	1976035		    1
2579989	2579990		1976085	1976086		    1
2580054	2580056		1976150	1976152		    2
2580248	2580288		1976344	1976384		   40
2580385	2580387		1976481	1976483		    2
2580539	2580541		1977411	1977413		    2
2580679	2580690		1977551	1977562		   11
2580717	2580827		1977589	1977699		  110
2581088	2581089		1977960	1977961		    1
2581193	2581205		1978065	1978077		   12
2581280	2581282		1978152	1978154		    2
2581342	2581351		1978214	1978223		    9
2581531	2581532		1978403	1978404		    1
2581557	2581558		1978429	1978430		    1
2581626	2581645		1978498	1978517		   19
2581809	2581810		1978681	1978682		    1
2582073	2582110		1978945	1978982		   37
2582172	2582173		1979044	1979045		    1
2582487	2582504		1979359	1979376		   17
2582589	2582590		1979461	1979462		    1
2582718	2582719		1979590	1979591		    1
2582839	2582844		1979711	1979716		    5
2582872	2582873		1979744	1979745		    1
2582995	2583005		1979867	1979877		   10
2583168	2583231		1980040	1980103		   63
2583259	2583260		1980131	1980132		    1
2583337	2583338		1980209	1980210		    1
2583403	2583404		1980275	1980276		    1
2583427	2583428		1980299	1980300		    1
2583475	2583476		1980347	1980348		    1
2583652	2583694		1980524	1980566		   42
2583923	2583924		1980795	1980796		    1
2583995	2584008		1980867	1980880		   13
2584038	2584039		1980910	1980911		    1
2584064	2584066		1980936	1980938		    2
2584094	2584110		1980966	1980982		   16
2584241	2584242		1981113	1981114		    1
2584285	2584287		1981157	1981159		    2
2584351	2584362		1981223	1981234		   11
2584400	2584405		1981272	1981277		    5
2584430	2584431		1981302	1981303		    1
2584475	2584497		1981347	1981369		   22
2584547	2584564		1981419	1981436		   17
2584589	2584590		1981461	1981462		    1
2584667	2584668		1981539	1981540		    1
2584714	2584716		1981586	1981588		    2
2584801	2584802		1981673	1981674		    1
2584873	2584874		1981745	1981746		    1
2584897	2584898		1981769	1981770		    1
2584921	2584923		1981793	1981795		    2
2585014	2585042		1981886	1981914		   28
2585179	2585180		1982051	1982052		    1
2585437	2585438		1982309	1982310		    1
2585581	2585582		1982453	1982454		    1
2585635	2585636		1982507	1982508		    1
2585689	2585700		1982561	1982572		   11
2585734	2585753		1982606	1982625		   19
2585971	2585972		1982843	1982844		    1
2586268	2586269		1983140	1983141		    1
2586349	2586391		1983221	1983263		   42
2586424	2586432		1983296	1983304		    8
2586453	2586454		1983325	1983326		    1
2586484	2586486		1983356	1983358		    2
2586520	2586527		1983392	1983399		    7
2586670	2586671		1983542	1983543		    1
2586724	2586787		1983596	1983659		   63
2586877	2586900		1983749	1983772		   23
2586985	2587007		1983857	1983879		   22
2587048	2587058		1983920	1983930		   10
2587189	2587190		1984061	1984062		    1
2587309	2587311		1984181	1984183		    2
2587491	2587492		1984363	1984364		    1
2587517	2587518		1984389	1984390		    1
2587598	2587599		1984470	1984471		    1
2587778	2587779		1984650	1984651		    1
2588467	2588468		1985339	1985340		    1
2588527	2588529		1985399	1985401		    2
2588563	2589251		1985435	1986123		  688
2589325	2589327		1986197	1986199		    2
2589434	2589435		1986306	1986307		    1
2589479	2589480		1986351	1986352		    1
2589540	2589558		1986412	1986430		   18
2589579	2589581		1986451	1986453		    2
2590228	2590230		1987100	1987102		    2
2590384	2590652		1987256	1987524		  268
2590733	2590734		1987605	1987606		    1
2591181	2591182		1988053	1988054		    1
2591203	2591204		1988075	1988076		    1
2591244	2591251		1988116	1988123		    7
2591289	2591326		1988161	1988198		   37
2591379	2591380		1988251	1988252		    1
2591489	2591491		1988361	1988363		    2
2591589	2591591		1988461	1988463		    2
2591679	2591680		1988551	1988552		    1
2591727	2591735		1988599	1988607		    8
2591763	2591794		1988635	1988666		   31
2591925	2591927		1988797	1988799		    2
2592044	2592045		1988916	1988917		    1
2592099	2592103		1988971	1988975		    4
2592131	2592132		1989003	1989004		    1
2592299	2592300		1989171	1989172		    1
2592338	2592340		1989210	1989212		    2
2592374	2592375		1989246	1989247		    1
2592539	2592540		1989411	1989412		    1
2592621	2592622		1989493	1989494		    1
2592853	2592869		1989725	1989741		   16
2588745	2588757		1985616	1985628		   12
2588879	2588901		1985750	1985772		   22
2588951	2588985		1985822	1985856		   34
2590439	2590446		1987312	1987319		    7
2590517	2590519		1987390	1987392		    2
2604707	2604714		1430519	1430526		    7
2604801	2604809		1430613	1430621		    8
2604992	2605008		 581105	 581121		   16
2612341	2612342		4505856	4505857		    1
2614076	2614078		1989828	1989830		    2
2614526	2614527		1990279	1990280		    1
2614721	2614723		1990474	1990476		    2
2614811	2614830		1990564	1990583		   19
2614880	2614881		1990633	1990634		    1
2615000	2615001		1990753	1990754		    1
2615272	2615274		1991025	1991027		    2
2615362	2615363		1991115	1991116		    1
2615404	2615423		1991157	1991176		   19
2615461	2615463		1991214	1991216		    2
2615491	2615493		1991244	1991246		    2
2615587	2615589		1991340	1991342		    2
2615614	2615615		1991367	1991368		    1
2615683	2615684		1991436	1991437		    1
2615761	2615762		1991514	1991515		    1
2615830	2615840		1991583	1991593		   10
2615914	2615933		1991667	1991686		   19
2616190	2616191		1991943	1991944		    1
2616298	2616299		1992051	1992052		    1
2616322	2616341		1992075	1992094		   19
2616469	2616470		1992222	1992223		    1
2616613	2616615		1992366	1992368		    2
2616649	2616650		1992402	1992403		    1
2616760	2616761		1992513	1992514		    1
2616922	2616923		1992675	1992676		    1
2617143	2617144		1992896	1992897		    1
2617227	2617228		1992980	1992981		    1
2617269	2617285		1993022	1993038		   16
2617401	2617402		1993154	1993155		    1
2617496	2617497		1993249	1993250		    1
2617821	2617844		1993574	1993597		   23
2617958	2617981		1993711	1993734		   23
2618225	2618226		1993978	1993979		    1
2618517	2618519		1994270	1994272		    2
2618800	2618801		1994553	1994554		    1
2618825	2618827		1994578	1994580		    2
2618925	2618927		1994678	1994680		    2
2619091	2619092		1994844	1994845		    1
2619258	2619259		1995011	1995012		    1
2619290	2619305		1995043	1995058		   15
2619382	2619383		1995135	1995136		    1
2619439	2619440		1995192	1995193		    1
2619481	2619482		1995234	1995235		    1
2619541	2619542		1995294	1995295		    1
2619679	2619706		1995432	1995459		   27
2619739	2619740		1995492	1995493		    1
2619850	2619851		1995603	1995604		    1
2619919	2619920		1995672	1995673		    1
2619943	2619953		1995696	1995706		   10
2620012	2620013		1995765	1995766		    1
2620057	2620058		1995810	1995811		    1
2620086	2620087		1995839	1995840		    1
2620194	2620196		1995947	1995949		    2
2620284	2620322		1996037	1996075		   38
2620353	2620387		1996106	1996140		   34
2620428	2620461		1996181	1996214		   33
2620617	2620618		1996370	1996371		    1
2620641	2620652		1996394	1996405		   11
2620756	2620758		1996509	1996511		    2
2620799	2620800		1996552	1996553		    1
2620868	2620869		1996621	1996622		    1
2621007	2621008		1996760	1996761		    1
2621584	2621585		1997338	1997339		    1
2621782	2621783		1997536	1997537		    1
2621900	2621908		1997654	1997662		    8
2621955	2621956		1997709	1997710		    1
2622480	2622482		1998234	1998236		    2
2622507	2622508		1998261	1998262		    1
2622596	2622604		1998350	1998358		    8
2622758	2622760		1998512	1998514		    2
2622788	2622789		1998542	1998543		    1
2622953	2622954		1998707	1998708		    1
2622981	2622982		1998735	1998736		    1
2623200	2623201		1998954	1998955		    1
2623422	2623426		1999176	1999180		    4
2623503	2623504		1999257	1999258		    1
2623563	2623584		1999317	1999338		   21
2624215	2624217		1999970	1999972		    2
2624271	2624272		2000026	2000027		    1
2624430	2624431		2000185	2000186		    1
2624452	2624474		2000207	2000229		   22
2624524	2624526		2000279	2000281		    2
2625916	2625920		2001410	2001414		    4
2625970	2625974		2001464	2001468		    4
2625997	2626001		2001491	2001495		    4
2626206	2626207		2001700	2001701		    1
2626250	2626251		2001744	2001745		    1
2626349	2626350		2001843	2001844		    1
2626383	2626385		2001877	2001879		    2
2626450	2626452		2001944	2001946		    2
2626648	2626650		2002151	2002153		    2
2626834	2626835		2002337	2002338		    1
2626879	2626916		2002382	2002419		   37
2626954	2626976		2002457	2002479		   22
2627035	2627051		2002538	2002554		   16
2627074	2627094		2002577	2002597		   20
2627221	2627237		2002724	2002740		   16
2627320	2627321		2002823	2002824		    1
2627368	2627369		2002871	2002872		    1
2627680	2627693		2003183	2003196		   13
2627749	2627751		2003252	2003254		    2
2627798	2627802		2003301	2003305		    4
2627845	2627847		2003348	2003350		    2
2627948	2627949		2003451	2003452		    1
2628106	2628107		2003609	2003610		    1
2628158	2628159		2003661	2003662		    1
2628354	2628356		2003857	2003859		    2
2628540	2628541		2004043	2004044		    1
2628744	2628745		2004247	2004248		    1
2628869	2628870		2004372	2004373		    1
2628916	2628917		2004419	2004420		    1
2628938	2628943		2004441	2004446		    5
2628974	2628975		2004477	2004478		    1
2629031	2629036		2004534	2004539		    5
2629061	2629081		2004564	2004584		   20
2629109	2629128		2004612	2004631		   19
2629181	2629186		2004684	2004689		    5
2629254	2629258		2004757	2004761		    4
2629583	2629589		2005086	2005092		    6
2629613	2629666		2005116	2005169		   53
2629697	2629699		2005200	2005202		    2
2629733	2629735		2005236	2005238		    2
2629769	2629771		2005272	2005274		    2
2629963	2629964		2005466	2005467		    1
2629994	2629995		2005497	2005498		    1
2630019	2630023		2005522	2005526		    4
2630060	2630107		2005563	2005610		   47
2630132	2630133		2005635	2005636		    1
2630157	2630158		2005660	2005661		    1
2630204	2630205		2005707	2005708		    1
2630235	2630252		2005738	2005755		   17
2630376	2630387		2005879	2005890		   11
2630415	2630416		2005918	2005919		    1
2630579	2630580		2006082	2006083		    1
2630674	2630676		2006177	2006179		    2
2630843	2630854		2006346	2006357		   11
2630879	2630898		2006382	2006401		   19
2630945	2630959		2006448	2006462		   14
2630990	2630991		2006493	2006494		    1
2631104	2631118		2006607	2006621		   14
2631143	2631144		2006646	2006647		    1
2631203	2631204		2006706	2006707		    1
2631336	2631337		2006839	2006840		    1
2631527	2631528		2007030	2007031		    1
2631584	2631586		2007087	2007089		    2
2631864	2631865		2007367	2007368		    1
2631890	2631892		2007393	2007395		    2
2632303	2632304		2007806	2007807		    1
2632678	2632687		2008181	2008190		    9
2632715	2632755		2008218	2008258		   40
2632780	2632803		2008283	2008306		   23
2632831	2632838		2008334	2008341		    7
2632859	2632861		2008362	2008364		    2
2632984	2632986		2008487	2008489		    2
2633049	2633050		2008552	2008553		    1
2633211	2633233		2008714	2008736		   22
2633331	2633353		2008834	2008856		   22
2633376	2633377		2008879	2008880		    1
2633421	2633422		2008924	2008925		    1
2633445	2633447		2008948	2008950		    2
2633510	2633538		2009013	2009041		   28
2633562	2633596		2009065	2009099		   34
2633636	2633654		2009139	2009157		   18
2633692	2633693		2009195	2009196		    1
2633724	2633781		2009227	2009284		   57
2633814	2633825		2009317	2009328		   11
2634935	2634936		2010433	2010434		    1
2635069	2635089		2010567	2010587		   20
2635110	2635137		2010608	2010635		   27
2635334	2635335		2008879	2008880		    1
2635379	2635380		2008924	2008925		    1
2635468	2635470		2009013	2009015		    2
2635495	2635499		2009040	2009044		    4
2635520	2635541		2009065	2009086		   21
2635569	2635572		2009114	2009117		    3
2635636	2635651		2009181	2009196		   15
2635682	2635702		2009227	2009247		   20
2635738	2635739		2009283	2009284		    1
2635772	2635776		2009317	2009321		    4
2636921	2636931		2010461	2010471		   10
2636955	2636956		2010495	2010496		    1
2637027	2637053		2010567	2010593		   26
2637080	2637081		2010620	2010621		    1
2637102	2637120		2010642	2010660		   18
2637160	2637213		2010700	2010753		   53
2637344	2637364		2010884	2010904		   20
2637498	2637509		2011038	2011049		   11
2637986	2638021		2011526	2011561		   35
2638046	2638050		2011586	2011590		    4
2638380	2638382		2011920	2011922		    2
2638403	2638404		2011943	2011944		    1
2638454	2638455		2011994	2011995		    1
2638499	2638509		2012039	2012049		   10
2638556	2638573		2012096	2012113		   17
2638664	2638665		2012204	2012205		    1
2638799	2638800		2012339	2012340		    1
2638853	2638855		2012393	2012395		    2
2638880	2638891		2012420	2012431		   11
2638916	2638918		2012456	2012458		    2
2639003	2639005		2012543	2012545		    2
2639030	2639032		2012570	2012572		    2
2639066	2639067		2012606	2012607		    1
2639117	2639130		2012657	2012670		   13
2639240	2639241		2012780	2012781		    1
2639433	2639434		2012973	2012974		    1
2639457	2639464		2012997	2013004		    7
2639595	2639597		2013135	2013137		    2
2639622	2639623		2013162	2013163		    1
2639706	2639707		2013246	2013247		    1
2639730	2639731		2013270	2013271		    1
2639784	2639785		2013324	2013325		    1
2639883	2639884		2013423	2013424		    1
2640072	2640073		2013612	2013613		    1
2640156	2640157		2013696	2013697		    1
2640184	2640185		2013724	2013725		    1
2640367	2640368		2013907	2013908		    1
2640424	2640433		2013964	2013973		    9
2641262	2641264		2014740	2014742		    2
2641352	2641353		2014830	2014831		    1
2641376	2641377		2014854	2014855		    1
2641400	2641407		2014878	2014885		    7
2641763	2641765		2015241	2015243		    2
2641790	2641792		2015268	2015270		    2
2641820	2641843		2015298	2015321		   23
2641970	2641971		2015448	2015449		    1
2642084	2642085		2015562	2015563		    1
2642108	2642118		2015586	2015596		   10
2642354	2642355		2015832	2015833		    1
2642466	2642467		2015944	2015945		    1
2642504	2642505		2015982	2015983		    1
2642582	2642584		2016060	2016062		    2
2642618	2642619		2016096	2016097		    1
2642672	2642673		2016150	2016151		    1
2642789	2642802		2016267	2016280		   13
2643378	2643399		2016856	2016877		   21
2643435	2643436		2016913	2016914		    1
2643463	2643464		2016941	2016942		    1
2643498	2643500		2016976	2016978		    2
2643538	2643554		2017016	2017032		   16
2643613	2643614		2017091	2017092		    1
2643794	2643795		2017272	2017273		    1
2643844	2643846		2017322	2017324		    2
2643931	2643933		2017409	2017411		    2
2643954	2643956		2017432	2017434		    2
2644021	2644023		2017499	2017501		    2
2644284	2644286		2017762	2017764		    2
2644320	2644378		2017798	2017856		   58
2644458	2644461		2017936	2017939		    3
2644951	2644952		2018429	2018430		    1
2645134	2645136		2018612	2018614		    2
2645467	2645475		2018945	2018953		    8
2645500	2645501		2018978	2018979		    1
2645548	2645555		2019026	2019033		    7
2645739	2645741		2019217	2019219		    2
2645841	2645848		2019319	2019326		    7
2646185	2646186		2019663	2019664		    1
2646230	2646248		2019708	2019726		   18
2646302	2646304		2019780	2019782		    2
2646335	2646345		2019813	2019823		   10
2646742	2646743		2020220	2020221		    1
2647054	2647055		2020532	2020533		    1
2647477	2647479		2020955	2020957		    2
2648147	2648148		2021625	2021626		    1
2648988	2648989		2022466	2022467		    1
2649175	2649176		2022653	2022654		    1
2649903	2649904		2023381	2023382		    1
2650014	2650015		2023492	2023493		    1
2650038	2650039		2023516	2023517		    1
2650155	2650156		2023633	2023634		    1
2650233	2650234		2023711	2023712		    1
2650264	2650269		2023742	2023747		    5
2650294	2650296		2023772	2023774		    2
2650359	2650360		2023837	2023838		    1
2650576	2650608		2024054	2024086		   32
2650759	2650760		2024237	2024238		    1
2650897	2650899		2024375	2024377		    2
2650984	2650996		2024462	2024474		   12
2651026	2651030		2024504	2024508		    4
2651053	2651078		2024531	2024556		   25
2651302	2651303		2024780	2024781		    1
2651410	2651411		2024888	2024889		    1
2651533	2651534		2025011	2025012		    1
2651935	2651936		2025413	2025414		    1
2651974	2651978		2025452	2025456		    4
2652049	2652074		2025527	2025552		   25
2652175	2652194		2025653	2025672		   19
2652219	2652221		2025697	2025699		    2
2652319	2652320		2025797	2025798		    1
2652373	2652374		2025851	2025852		    1
2652427	2652443		2025905	2025921		   16
2652489	2652503		2025967	2025981		   14
2652575	2652576		2026053	2026054		    1
2652685	2652687		2026163	2026165		    2
2652715	2652737		2026193	2026215		   22
2652765	2652766		2026243	2026244		    1
2652983	2653019		2026461	2026497		   36
2653104	2653105		2026582	2026583		    1
2653158	2653177		2026636	2026655		   19
2653251	2653252		2026729	2026730		    1
2653332	2653334		2026810	2026812		    2
2653599	2653601		2027077	2027079		    2
2653626	2653639		2027104	2027117		   13
2653683	2653684		2027161	2027162		    1
2653857	2653858		2027335	2027336		    1
2654205	2654206		2027683	2027684		    1
2654247	2654248		2027725	2027726		    1
2654952	2654974		2028430	2028452		   22
2655007	2655009		2028485	2028487		    2
2655037	2655039		2028515	2028517		    2
2655086	2655087		2028564	2028565		    1
2655316	2655318		2028794	2028796		    2
2655349	2655350		2028827	2028828		    1
2655391	2655392		2028869	2028870		    1
2655596	2655599		2029074	2029077		    3
2655782	2655783		2029260	2029261		    1
2655833	2655834		2029311	2029312		    1
2655947	2655949		2029425	2029427		    2
2655977	2655999		2029455	2029477		   22
2656061	2656089		2029539	2029567		   28
2656169	2656170		2029647	2029648		    1
2656232	2656260		2029710	2029738		   28
2656394	2656395		2029872	2029873		    1
2656469	2656482		2029947	2029960		   13
2656583	2656584		2030061	2030062		    1
2656640	2656641		2030118	2030119		    1
2656742	2656767		2030220	2030245		   25
2656868	2656888		2030346	2030366		   20
2656934	2656941		2030412	2030419		    7
2657061	2657090		2030539	2030568		   29
2657152	2657165		2030630	2030643		   13
2657258	2657259		2030736	2030737		    1
2657355	2657356		2030833	2030834		    1
2657410	2657417		2030888	2030895		    7
2657453	2657455		2030931	2030933		    2
2657489	2657494		2030967	2030972		    5
2657699	2657701		2031177	2031179		    2
2657827	2657828		2031306	2031307		    1
2657890	2657892		2031369	2031371		    2
2658003	2658005		2031482	2031484		    2
2658052	2658053		2031531	2031532		    1
2658076	2658077		2031555	2031556		    1
2658137	2658159		2031616	2031638		   22
2658303	2658323		2031782	2031802		   20
2658346	2658357		2031825	2031836		   11
2658423	2658489		2031902	2031968		   66
2658663	2658681		2032142	2032160		   18
2658709	2658714		2032188	2032193		    5
2658735	2658740		2032214	2032219		    5
2658800	2658801		2032279	2032280		    1
2658899	2658901		2032378	2032380		    2
2658995	2658996		2032474	2032475		    1
2659672	2659673		2033157	2033158		    1
2659711	2659726		2033196	2033211		   15
2659753	2659754		2033238	2033239		    1
2659785	2659808		2033270	2033293		   23
2659899	2659919		2033384	2033404		   20
2659957	2659970		2033442	2033455		   13
2660077	2660079		2033562	2033564		    2
2660133	2660134		2033618	2033619		    1
2660168	2660184		2033653	2033669		   16
2660255	2660256		2033740	2033741		    1
2660386	2660387		2033871	2033872		    1
2660704	2660705		2034189	2034190		    1
2660782	2660784		2034267	2034269		    2
2660872	2660874		2034357	2034359		    2
2660968	2660971		2034453	2034456		    3
2661094	2661095		2034579	2034580		    1
2661262	2661263		2034747	2034748		    1
2661346	2661348		2034831	2034833		    2
2661436	2661441		2034921	2034926		    5
2661519	2661521		2035004	2035006		    2
2661606	2661615		2035091	2035100		    9
2661643	2661644		2035128	2035129		    1
2661715	2661716		2035200	2035201		    1
2661859	2661860		2035344	2035345		    1
2662081	2662082		2035566	2035567		    1
2662141	2662150		2035626	2035635		    9
2662177	2662183		2035662	2035668		    6
2662213	2662214		2035698	2035699		    1
2662394	2662396		2035879	2035881		    2
2662434	2662448		2035919	2035933		   14
2662489	2662491		2035974	2035976		    2
2662525	2662527		2036010	2036012		    2
2662591	2662592		2036076	2036077		    1
2662639	2662640		2036124	2036125		    1
2662680	2662682		2036165	2036167		    2
2662710	2662726		2036195	2036211		   16
2662794	2662796		2036279	2036281		    2
2662950	2662951		2036435	2036436		    1
2663082	2663083		2036567	2036568		    1
2663157	2663158		2036642	2036643		    1
2663280	2663281		2036765	2036766		    1
2663319	2663320		2036804	2036805		    1
2663351	2663352		2036836	2036837		    1
2663388	2663389		2036873	2036874		    1
2663519	2663532		2037004	2037017		   13
2663555	2663562		2037040	2037047		    7
2663621	2663623		2037106	2037108		    2
2663648	2663655		2037133	2037140		    7
2664109	2664114		2037595	2037600		    5
2664181	2664182		2037667	2037668		    1
2664265	2664278		2037751	2037764		   13
2664397	2664404		2037883	2037890		    7
2664523	2664524		2038009	2038010		    1
2664607	2664608		2038093	2038094		    1
2664772	2664773		2038258	2038259		    1
2664863	2664878		2038349	2038364		   15
2664969	2664970		2038455	2038456		    1
2665017	2665018		2038503	2038504		    1
2665159	2665160		2038645	2038646		    1
2665204	2665205		2038690	2038691		    1
2665246	2665263		2038732	2038749		   17
2665297	2665298		2038783	2038784		    1
2665345	2665347		2038831	2038833		    2
2665381	2665418		2038867	2038904		   37
2665495	2665497		2038981	2038983		    2
2665522	2665524		2039008	2039010		    2
2665599	2665601		2039085	2039087		    2
2665718	2665745		2039204	2039231		   27
2665766	2665780		2039252	2039266		   14
2665807	2665833		2039293	2039319		   26
2665854	2665856		2039340	2039342		    2
2665890	2665893		2039376	2039379		    3
2665926	2665927		2039412	2039413		    1
2666134	2666135		2039620	2039621		    1
2666210	2666211		2039696	2039697		    1
2666285	2666286		2039771	2039772		    1
2666598	2666602		2040084	2040088		    4
2666797	2666799		2040283	2040285		    2
2666827	2666828		2040313	2040314		    1
2666888	2666890		2040374	2040376		    2
2667194	2667195		2040680	2040681		    1
2667352	2667353		2040838	2040839		    1
2667479	2667480		2040964	2040965		    1
2667503	2667512		2040988	2040997		    9
2667542	2667543		2041027	2041028		    1
2667647	2667648		2041132	2041133		    1
2667728	2667734		2041213	2041219		    6
2667878	2667882		2041363	2041367		    4
2689928	2689933		1634678	1634683		    5
2699772	2699777		1641777	1641782		    5
2699810	2699811		1641815	1641816		    1
2700727	2700737		1643099	1643109		   10
2700762	2700763		1643134	1643135		    1
2707759	2707760		1647634	1647635		    1
2708419	2708421		1648294	1648296		    2
2708446	2708457		1648321	1648332		   11
2708491	2708517		1648366	1648392		   26
2708664	2708665		1648539	1648540		    1
2708719	2708741		1648594	1648616		   22
2708762	2708783		1648637	1648658		   21
2712065	2712077		2041521	2041533		   12
2712831	2712839		2042287	2042295		    8
2713097	2713098		2042553	2042554		    1
2713388	2713389		2042844	2042845		    1
2713439	2713440		2042895	2042896		    1
2713551	2713552		2043007	2043008		    1
2713599	2713618		2043055	2043074		   19
2713729	2713730		2043185	2043186		    1
2713875	2713915		2043331	2043371		   40
2713965	2713968		2043421	2043424		    3
2714214	2714216		2043670	2043672		    2
2714440	2714441		2043896	2043897		    1
2714526	2714527		2043982	2043983		    1
2714670	2714677		2044126	2044133		    7
2714708	2714710		2044164	2044166		    2
2714738	2714739		2044194	2044195		    1
2714763	2714764		2044219	2044220		    1
2714907	2714936		2044363	2044392		   29
2714970	2714971		2044426	2044427		    1
2715027	2715049		2044483	2044505		   22
2715072	2715085		2044528	2044541		   13
2715125	2715139		2044581	2044595		   14
2715202	2715204		2044658	2044660		    2
2715345	2715346		2044801	2044802		    1
2715405	2715406		2044861	2044862		    1
2715450	2715451		2044906	2044907		    1
2715507	2715528		2044963	2044984		   21
2715555	2715559		2045011	2045015		    4
2715603	2715605		2045059	2045061		    2
2715633	2715649		2045089	2045105		   16
2715870	2715872		2045326	2045328		    2
2716020	2716021		2045476	2045477		    1
2716059	2716099		2045515	2045555		   40
2716133	2716163		2045589	2045619		   30
2716244	2716245		2045700	2045701		    1
2716272	2716293		2045728	2045749		   21
2716373	2716376		2045829	2045832		    3
2716410	2716411		2045866	2045867		    1
2716462	2716513		2045918	2045969		   51
2716559	2716560		2046015	2046016		    1
2716591	2716592		2046047	2046048		    1
2716639	2716640		2046095	2046096		    1
2717031	2717041		2046190	2046200		   10
2717064	2717065		2046223	2046224		    1
2717641	2717651		2046190	2046200		   10
2717674	2717693		2046223	2046242		   19
2717716	2717718		2046265	2046267		    2
2717746	2717765		2046295	2046314		   19
2717789	2717791		2046338	2046340		    2
2717812	2717874		2046361	2046423		   62
2717923	2717925		2046472	2046474		    2
2717950	2717951		2046499	2046500		    1
2717972	2718021		2046521	2046570		   49
2718068	2718077		2046617	2046626		    9
2718164	2718165		2046713	2046714		    1
2718190	2718191		2046739	2046740		    1
2718313	2718315		2046862	2046864		    2
2718529	2718538		2047078	2047087		    9
